"matchid","first_team","first_team_goals","firstplayername","firstplayersurname","second_team","second_team_goals","secondplayername","secondplayersurname","date","stadium","outgoingplayername","outgoingplayersurname","incomingplayername","incomingplayersurname"
7,"Argentina",2,"Julio","Olartcoechea","England",1,"Peter","Shilton","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
10,"Italy",4,"Enrico","Albertosi","West Germany",3,"Wolfgang","Overath","1970-06-17","Estadio Azteca","Hannes","Lohr","Reinhard","Libuda"
9,"Italy",3,"Alessandro","Costacurta","Brazil",3,"","Cafu","1997-06-08","Stade de Gerland","Mauro","Silva","Flavio","Conceicao"
3,"France",2,"Emmanuel","Petit","Portugal",1,"Nuno","Gomes","2000-06-28","King Baudouin Stadium","","Dimas","Rui","Jorge"
4,"Brazil",1,"","Pele","England",0,"Francis","Henry Lee","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
2,"Liverpool",5,"Gary","McAllister","Alaves",4,"Oscar","Tellez","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
4,"Brazil",1,"","Everaldo","England",0,"Brian","Labone","1970-06-07","Jalisco Stadium","Bobby","Charlton","Jeff","Astle"
1,"Chelsea",4,"Branislav","Ivanovic","Liverpool",4,"Fabio","Aurelio","2009-04-14","Stamford Bridge","Javier","Mascherano","Albert","Riera"
7,"Argentina",2,"Hector","Enrique","England",1,"Terry","Fenwick","1986-06-22","Estadio Azteca","Jorge","Burruchaga","Carlos","Daniel Tapia"
2,"Liverpool",5,"Emile","Heskey","Alaves",4,"Jordi","Cruyff","2001-05-16","BVB Stadion Dortmund","Stephane","Henchoz","Vladimir","Smicer"
2,"Liverpool",5,"Sander","Westerveld","Alaves",4,"Delfi","Geli","2001-05-16","BVB Stadion Dortmund","Dan","Eggen","Ivan","Alonso"
8,"Manchester United",2,"Gary","Neville","Bayern",1,"Mario","Basler","1999-05-26","Camp Nou","Lothar","Matthaus","Thorsten","Fink"
6,"Milan",3,"Andrea","Pirlo","Liverpool",3,"Steven","Gerrard","2005-05-25","Ataturk Olimpiyat Stadyumu","Clarence","Seedorf","","Serginho"
3,"France",2,"Thierry","Henry","Portugal",1,"Vitor","Baia","2000-06-28","King Baudouin Stadium","Thierry","Henry","David","Trezeguet"
2,"Liverpool",5,"Stephane","Henchoz","Alaves",4,"Oscar","Tellez","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
10,"Italy",4,"Roberto","Boninsegna","West Germany",3,"Gerd","Muller","1970-06-17","Estadio Azteca","Roberto","Rosato","Fabrizio","Poletti"
4,"Brazil",1,"","Clodoaldo","England",0,"Terence","Cooper","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
2,"Liverpool",5,"Sami","Hyypia","Alaves",4,"Martin","Herrera","2001-05-16","BVB Stadion Dortmund","Emile","Heskey","Robbie","Fowler"
2,"Liverpool",5,"Sami","Hyypia","Alaves",4,"Javi","Moreno","2001-05-16","BVB Stadion Dortmund","Martin","Astudillo","Mocellin","Magno"
7,"Argentina",2,"Ricardo","Giusti","England",1,"Peter","Beardsley","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
10,"Italy",4,"Gigi","Riva","West Germany",3,"Wolfgang","Overath","1970-06-17","Estadio Azteca","Sandro","Mazzola","Gianni","Rivera"
6,"Milan",3,"Andriy","Shevchenko","Liverpool",3,"Djimi","Traore","2005-05-25","Ataturk Olimpiyat Stadyumu","Milan","Baros","Djibril","Cisse"
2,"Liverpool",5,"Markus","Babbel","Alaves",4,"Dan","Eggen","2001-05-16","BVB Stadion Dortmund","Michael","Owen","Patrik","Berger"
8,"Manchester United",2,"Jesper","Blomqvist","Bayern",1,"Jens","Jeremies","1999-05-26","Camp Nou","Andy","Cole","Ole","Gunnar Solskjaer"
4,"Brazil",1,"","Rivellino","England",0,"Geoff","Hurst","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
8,"Manchester United",2,"Dwight","Yorke","Bayern",1,"Jens","Jeremies","1999-05-26","Camp Nou","Jesper","Blomqvist","Teddy","Sheringham"
7,"Argentina",2,"Ricardo","Giusti","England",1,"Gary","M. Stevens","1986-06-22","Estadio Azteca","Trevor","Steven","John","Barnes"
1,"Chelsea",4,"","Alex","Liverpool",4,"Fernando","Torres","2009-04-14","Stamford Bridge","Fernando","Torres","David","Ngog"
6,"Milan",3,"","Cafu","Liverpool",3,"Steven","Gerrard","2005-05-25","Ataturk Olimpiyat Stadyumu","Harry","Kewell","Vladimir","Smicer"
6,"Milan",3,"Alessandro","Nesta","Liverpool",3,"John","Arne Riise","2005-05-25","Ataturk Olimpiyat Stadyumu","Hernan","Crespo","Jon","Dahl Tomasson"
8,"Manchester United",2,"Dwight","Yorke","Bayern",1,"Stefan","Effenberg","1999-05-26","Camp Nou","Mario","Basler","Hasan","Salihamidzic"
4,"Brazil",1,"","Caju","England",0,"Bobby","Moore","1970-06-07","Jalisco Stadium","","Tostao","Roberto","Lopes de Miranda"
